lighthouse_target_id,source_document_id,crawl_run_id,university_id,sample_course_id,journey_id,page_role,source_kind,default_strategy,default_device_category,scope_status,selection_rule,js_dependency_level_preaudit,tested_url,final_url,notes
LH_COURSE_C020,SD0041,CR005,UNI10,C020,J020,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,tranche4; collected before hub normalization; parent relinked to normalized programmes hub SD0046 in CR006
LH_COURSE_C021,SD0044,CR005,UNI11,C021,J021,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unisa.it/scienze-della-comunicazione,https://corsi.unisa.it/scienze-della-comunicazione,tranche4; official course portal
LH_COURSE_C022,SD0045,CR005,UNI11,C022,J022,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unisa.it/corporate-communication-e-media,https://corsi.unisa.it/corporate-communication-e-media,tranche4; official course portal
LH_COURSE_C023,SD0049,CR007,UNI12,C023,J023,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,tranche5; collected before hub normalization; parent relinked to normalized programmes hub SD0059 in CR008
LH_COURSE_C024,SD0050,CR007,UNI12,C024,J024,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,tranche5; collected before hub normalization; parent relinked to normalized programmes hub SD0059 in CR008
LH_COURSE_C025,SD0053,CR007,UNI13,C025,J025,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,tranche5; collected before hub normalization; parent relinked to normalized programmes hub SD0060 in CR009
LH_COURSE_C026,SD0054,CR007,UNI13,C026,J026,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,tranche5; collected before hub normalization; parent relinked to normalized programmes hub SD0060 in CR009
LH_COURSE_C027,SD0057,CR007,UNI14,C027,J027,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unistrapg.it/comip,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-comunicazione-internazionale-e-pubblicitaria-comip,tranche5; source seed redirects to canonical offerta formativa course page
LH_COURSE_C028,SD0058,CR007,UNI14,C028,J028,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,tranche5; official course page
LH_COURSE_C029,SD0063,CR010,UNI15,C029,J029,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uniurb.it/corsi/1757256,https://www.uniurb.it/corsi/1757256,tranche6; fetched with browser user-agent and HTTP/1.1 after empty reply on default curl; parent relinked to normalized programmes hub SD0073 in CR011
