crawl_run_id,serp_observation_id,course_id,university_id,source_document_id,query_template_id,query_type,query_string,search_engine,search_interface,hl,gl,browser_mode,login_status,device_profile,viewport_width,observed_at,max_organic_depth,max_organic_depth_observed,target_found,target_found_top10,target_found_top20,target_rank_organic,target_rank_absolute,target_result_title,target_result_url,target_match_type,canonical_course_url,serp_features_observed,ads_observed,evidence_capture_path,notes
CR036,SOBS0021,C005,UNI03,[to_be_filled],SQ03,information_seeking,Discipline dello spettacolo e della comunicazione triennale Pisa,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:20:00+02:00,10,10,true,true,,1,1,Discipline dello Spettacolo e della Comunicazione,https://www.cfs.unipi.it/orientamento-e-didattica/corsi-di-laurea-triennale/discipline-dello-spettacolo-e-della-comunicazione/,official_equivalent,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,ai_overview,false,artifacts/runs/SERP_B001/serp/SERP_B001_r012_top10.png,"I risultati mostrano anche molti video di YT. Hanno un canale ufficiale che usano per la promozione del corso, come gli altri, ma i loro video vengono indicizzati."
CR036,SOBS0022,C006,UNI03,[to_be_filled],SQ01,known_institution,"""Comunicazione, Media, Tecnologie"" ""Università degli Studi di Pisa""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:24:00+02:00,10,20,false,false,false,,,,,not_found,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,"ai_overview, people_also_ask",false,artifacts/runs/SERP_B001/serp/SERP_B001_r013_top10.png,Per qualche ragione vengono riportati molti risultati provenienti da www.masterin.it che rimandano alla pagina target ma non si trova la pagina target
CR036,SOBS0023,C006,UNI03,[to_be_filled],SQ02,user_like_institutional,"Comunicazione, Media, Tecnologie UniPi",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:28:00+02:00,10,10,true,true,,1,1,"Comunicazione, Media, Tecnologie",https://www.cfs.unipi.it/orientamento-e-didattica/corsi-di-laurea-magistrale/comunicazione-media-tecnologie/,official_equivalent,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,,false,artifacts/runs/SERP_B001/serp/SERP_B001_r014_top10.png,Anche qui si trova il sito del dipartimento e il catalogo cineca di unipi
CR036,SOBS0024,C006,UNI03,[to_be_filled],SQ03,information_seeking,"Comunicazione, Media, Tecnologie magistrale Pisa",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:30:00+02:00,10,10,true,true,,1,1,"Comunicazione, Media, Tecnologie",https://www.cfs.unipi.it/orientamento-e-didattica/corsi-di-laurea-magistrale/comunicazione-media-tecnologie/,official_equivalent,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,ai_overview,false,artifacts/runs/SERP_B001/serp/SERP_B001_r015_top10.png,
CR037,SOBS0025,C007,UNI04,[to_be_filled],SQ01,known_institution,"""Scienze Umanistiche per la Comunicazione"" ""Università degli Studi di Firenze""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:53:00+02:00,10,10,true,true,,1,1,[B316] SCIENZE UMANISTICHE PER LA COMUNICAZIONE,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-triennali-e-a-ciclo-unico/scienze-umanistiche-la,official_equivalent,https://www.unifi.it/it/node/6520,ai_overview,false,artifacts/runs/SERP_B002/serp/SERP_B002_r001_top10.png,"Primi tre risultati sono tre link diversi che portano a tre pagine equivalenti (unifi studia con noi, sc-unacom unifi e unifi course catalogue)"
CR037,SOBS0026,C007,UNI04,[to_be_filled],SQ02,user_like_institutional,Scienze Umanistiche per la Comunicazione UniFi,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:59:00+02:00,10,10,true,true,,1,1,[B316] SCIENZE UMANISTICHE PER LA COMUNICAZIONE,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-triennali-e-a-ciclo-unico/scienze-umanistiche-la,official_equivalent,https://www.unifi.it/it/node/6520,people_also_ask,false,artifacts/runs/SERP_B002/serp/SERP_B002_r002_top10.png,"Primi tre risultati sono tre link diversi che portano a tre pagine equivalenti (unifi studia con noi, sc-unacom unifi e unifi course catalogue)"
CR037,SOBS0027,C007,UNI04,[to_be_filled],SQ03,information_seeking,Scienze Umanistiche per la Comunicazione triennale Firenze,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:03:00+02:00,10,10,true,true,,1,1,[B316] SCIENZE UMANISTICHE PER LA COMUNICAZIONE,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-triennali-e-a-ciclo-unico/scienze-umanistiche-la,official_equivalent,https://www.unifi.it/it/node/6520,ai_overview,true,artifacts/runs/SERP_B002/serp/SERP_B002_r003_top10.png,"Primi tre risultati sono tre link diversi che portano a tre pagine equivalenti (unifi studia con noi, sc-unacom unifi e unifi course catalogue)"
CR037,SOBS0028,C008,UNI04,[to_be_filled],SQ01,known_institution,"""Pratiche, linguaggi e culture della comunicazione"" ""Università degli Studi di Firenze""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:05:00+02:00,10,10,true,true,,1,1,"Pratiche, linguaggi e culture della comunicazione",https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,canonical_exact,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,,false,artifacts/runs/SERP_B002/serp/SERP_B002_r004_top10.png,"Secondo risultato è il sito del corso di laurea, dentro il dominio unifi"
CR037,SOBS0029,C008,UNI04,[to_be_filled],SQ02,user_like_institutional,"Pratiche, linguaggi e culture della comunicazione UniFi",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:10:00+02:00,10,10,true,true,,1,1,"Pratiche, linguaggi e culture della comunicazione",https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,canonical_exact,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,,false,artifacts/runs/SERP_B002/serp/SERP_B002_r005_top10.png,"Secondo risultato è il sito del corso di laurea, dentro il dominio unifi"
CR037,SOBS0030,C008,UNI04,[to_be_filled],SQ03,information_seeking,"Pratiche, linguaggi e culture della comunicazione magistrale Firenze",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:12:00+02:00,10,10,true,true,,1,1,"Pratiche, linguaggi e culture della comunicazione",https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,canonical_exact,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,,false,artifacts/runs/SERP_B002/serp/SERP_B002_r006_top10.png,"Secondo risultato è il sito del corso di laurea, dentro il dominio unifi"
