course_id,university_id,source_document_id,target_url,page_role,extraction_run_id,extracted_at,render_mode,course_title_observed,degree_level_present,degree_level_location_type,degree_class_present,degree_class_location_type,cfu_present,cfu_location_type,duration_present,duration_location_type,academic_year_present,academic_year_location_type,location_present,location_location_type,language_present,language_location_type,study_plan_present,study_plan_location_type,admission_requirements_present,admission_requirements_location_type,admission_procedure_present,admission_procedure_location_type,deadlines_present,deadlines_location_type,fees_or_costs_present,fees_or_costs_location_type,career_outcomes_present,career_outcomes_location_type,contacts_present,contacts_location_type,official_regulation_present,official_regulation_location_type,quality_or_satisfaction_present,quality_or_satisfaction_location_type,accessibility_services_present,accessibility_services_location_type,overall_extraction_confidence,notes
C011,UNI06,SD0024,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,[2705L31] SCIENZE DELLA COMUNICAZIONE | Università di Torino,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,inline_html,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,inline_html,present,linked_official_page,present,linked_official_page,present,linked_official_page,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,present,linked_official_page,not_observed,
C012,UNI06,SD0025,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,[0507M21] COMUNICAZIONE E CULTURE DEI MEDIA | Università di Torino,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,inline_html,not_observed,not_observed,present,linked_official_page,present,linked_official_page,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,present,linked_official_page,not_observed,
C013,UNI07,SD0028,https://corsi.unige.it/11938,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,"CORSO DI LAUREA TRIENNALE (D.M. 1648/2023) in  MEDIA, COMUNICAZIONE E SOCIETÀ | UniGe | Università di Genova | Corsi di Studio UniGe",present,heading_or_summary,present,table,present,ambiguous,present,table,present,heading_or_summary,present,heading_or_summary,present,table,present,heading_or_summary,present,table,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,not_observed,
C014,UNI07,SD0029,https://corsi.unige.it/11945,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,CORSO DI LAUREA MAGISTRALE (D.M. 1649/2023) in  DIGITAL HUMANITIES - INTERACTIVE SYSTEMS AND DIGITAL MEDIA | UniGe | Università di Genova | Corsi di Studio UniGe,present,heading_or_summary,present,table,present,ambiguous,present,table,present,heading_or_summary,present,heading_or_summary,present,table,present,heading_or_summary,present,table,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,not_observed,
C015,UNI08,SD0032,https://www.unimib.it/triennale/comunicazione-interculturale,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Comunicazione interculturale | Università degli Studi di Milano-Bicocca,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,present,external_official_portal,present,heading_or_summary,not_observed,not_observed,present,linked_official_page,not_observed,not_observed,present,linked_official_page,present,external_official_portal,present,ambiguous,present,linked_official_page,not_observed,
C016,UNI08,SD0033,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Teoria e tecnologia della comunicazione | Università degli Studi di Milano-Bicocca,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,linked_official_page,present,ambiguous,present,linked_official_page,present,external_official_portal,present,ambiguous,present,linked_official_page,not_observed,
C017,UNI09,SD0036,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Comunicazione e società (CES) | Università degli Studi di Milano Statale,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,linked_official_page,present,linked_official_page,present,heading_or_summary,present,linked_pdf,not_observed,not_observed,present,linked_official_page,not_observed,
C018,UNI09,SD0037,https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,"Editoria, culture della comunicazione e della moda | Università degli Studi di Milano Statale",present,heading_or_summary,present,heading_or_summary,present,table,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,linked_official_page,present,linked_official_page,present,linked_official_page,present,heading_or_summary,present,linked_pdf,present,ambiguous,present,linked_official_page,low,
C019,UNI10,SD0040,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,[SU02] SCIENZE DELLA COMUNICAZIONE | Università degli studi dell'Insubria,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,accordion,present,linked_official_page,present,heading_or_summary,medium,
C020,UNI10,SD0041,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,[SU03] SCIENZE E TECNICHE DELLA COMUNICAZIONE | Università degli studi dell'Insubria,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,accordion,present,linked_official_page,present,heading_or_summary,medium,
C021,UNI11,SD0044,https://corsi.unisa.it/scienze-della-comunicazione,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Scienze della Comunicazione | Home,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,linked_official_page,present,linked_official_page,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,external_official_portal,present,linked_official_page,present,heading_or_summary,present,linked_official_page,present,external_official_portal,not_observed,
C022,UNI11,SD0045,https://corsi.unisa.it/corporate-communication-e-media,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Corporate Communication e Media | Home,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,linked_official_page,present,linked_official_page,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,external_official_portal,present,linked_official_page,present,heading_or_summary,present,linked_official_page,present,external_official_portal,not_observed,
C023,UNI12,SD0049,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Scienze della Comunicazione - Università Roma Tre,present,heading_or_summary,not_observed,not_observed,present,ambiguous,present,ambiguous,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,present,heading_or_summary,present,accordion,present,heading_or_summary,present,linked_pdf,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,ambiguous,present,heading_or_summary,present,heading_or_summary,not_observed,
C024,UNI12,SD0050,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Scienze Cognitive della Comunicazione e dell'Azione - Università Roma Tre,present,heading_or_summary,present,ambiguous,present,ambiguous,present,ambiguous,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,present,heading_or_summary,present,accordion,present,heading_or_summary,present,linked_pdf,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,ambiguous,present,heading_or_summary,present,heading_or_summary,not_observed,
