sample_course_id,course_name,university_name,storage_path,title_quality_score_heuristic,meta_description_quality_score_heuristic,heading_structure_score_heuristic,orientation_description_keyword,orientation_description_FINAL,orientation_requirements_keyword,orientation_requirements_FINAL,orientation_deadlines_keyword,orientation_deadlines_FINAL,orientation_fees_keyword,orientation_fees_FINAL,orientation_contacts_keyword,orientation_contacts_FINAL,orientation_multilingual_keyword,orientation_multilingual_FINAL,orientation_study_plan_keyword,orientation_study_plan_FINAL,orientation_careers_keyword,orientation_careers_FINAL,onsite_search_present,menu_clarity_score,reviewer_notes
C031,Comunicazione digitale d'impresa,Università Telematica Internazionale Uninettuno,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0067.html,2,3,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C032,"Culture, linguaggi e strategie per la comunicazione nell'era digitale",Università Telematica Internazionale Uninettuno,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0068.html,2,3,0,0_no_hit,0,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,0_no_hit,0,0_no_hit,0,0_no_hit,0,,,
C033,Comunicazione e DAMS,Università della Calabria,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0071.html,3,1,0,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,0_no_hit,0,,,
C034,Linguaggi della comunicazione e dello spettacolo,Università della Calabria,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0072.html,3,1,0,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,1_keyword_hit,1,,,
C035,Culture digitali e della comunicazione,"Università degli Studi di Napoli ""Federico II""",artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0076.html,2,0,0,0_no_hit,0,0_no_hit,0,1_keyword_hit,1,0_no_hit,0,0_no_hit,0,0_no_hit,0,0_no_hit,0,0_no_hit,0,,,
C036,"Digital Society, Social Innovation and Global Citizenship","Università degli Studi di Napoli ""Federico II""",artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0077.html,2,0,0,0_no_hit,0,0_no_hit,0,1_keyword_hit,1,0_no_hit,0,0_no_hit,0,0_no_hit,0,0_no_hit,0,0_no_hit,0,,,
C037,Scienze della Comunicazione,Università degli Studi di Bergamo,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0080.html,3,0,3,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C038,Valorizzazione del patrimonio culturale materiale e immateriale,Università degli Studi di Bergamo,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0081.html,2,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,1_keyword_hit,1,,,
C039,Beni culturali,Università degli Studi di Trento,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0084.html,2,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,0_no_hit,0,,,
C040,"Organizzazione, società e tecnologia",Università degli Studi di Trento,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0085.html,2,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,0_no_hit,0,,,
C041,Giurisprudenza,Università degli Studi di Trento,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0086.html,2,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
