crawl_run_id,target_id,source_document_id,page_role,requested_url,returned_pageurl,http_status,wave_success,tool_name,tool_mode,tool_version,reporttype,audit_date,viewport_policy,viewportwidth,useragent_profile,evaldelay_ms,pagetitle,aimscore,allitemcount,totalelements,error_count,contrast_count,alert_count,feature_count,structure_count,aria_count,raw_json_path,notes
WVRUN_001,WV_COURSE_C008,SD0016,course_page,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,200,True,WAVE WebAIM,api,,4,2026-04-24T09:47:59Z,desktop_1200,1200,wave_default,500,"[B385] PRATICHE, LINGUAGGI E CULTURE DELLA COMUNICAZIONE | Università di Firenze",9.1,362,1130,1,0,164,9,101,87,wave/data/raw/WVRUN_001/WV_COURSE_C008.json,
WVRUN_001,WV_COURSE_C009,SD0019,course_page,https://scienze-comunicazione.unisi.it/it,https://scienze-comunicazione.unisi.it/it,200,True,WAVE WebAIM,api,,4,2026-04-24T09:48:07Z,desktop_1200,1200,wave_default,500,SCIENZE DELLA COMUNICAZIONE |,9.9,41,562,0,0,5,3,23,10,wave/data/raw/WVRUN_001/WV_COURSE_C009.json,
WVRUN_001,WV_COURSE_C010,SD0091,course_page,https://www.unisi.it/ugov/degree/82714,https://www.unisi.it/ugov/degree/82714,403,True,WAVE WebAIM,api,,4,2026-04-24T09:48:16Z,desktop_1200,1200,wave_default,500,Just a moment...,9.1,8,49,1,0,1,1,5,0,wave/data/raw/WVRUN_001/WV_COURSE_C010.json,
WVRUN_001,WV_COURSE_C011,SD0024,course_page,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,200,True,WAVE WebAIM,api,,4,2026-04-24T09:48:25Z,desktop_1200,1200,wave_default,500,[2705L31] SCIENZE DELLA COMUNICAZIONE | Università di Torino,5.8,440,1592,1,25,34,22,151,207,wave/data/raw/WVRUN_001/WV_COURSE_C011.json,
WVRUN_001,WV_COURSE_C012,SD0025,course_page,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,200,True,WAVE WebAIM,api,,4,2026-04-24T09:48:37Z,desktop_1200,1200,wave_default,500,[0507M21] COMUNICAZIONE E CULTURE DEI MEDIA | Università di Torino,5.8,455,1641,1,25,35,21,162,211,wave/data/raw/WVRUN_001/WV_COURSE_C012.json,
WVRUN_001,WV_COURSE_C013,SD0028,course_page,https://corsi.unige.it/corsi/11938,https://corsi.unige.it/corsi/11938,200,True,WAVE WebAIM,api,,4,2026-04-24T09:48:47Z,desktop_1200,1200,wave_default,500,"CORSO DI LAUREA TRIENNALE (D.M. 1648/2023) in MEDIA, COMUNICAZIONE E SOCIETÀ | UniGe | Università di Genova | Corsi di Studio UniGe",3.6,487,1339,19,29,54,15,142,228,wave/data/raw/WVRUN_001/WV_COURSE_C013.json,
WVRUN_001,WV_COURSE_C014,SD0029,course_page,https://corsi.unige.it/corsi/11945,https://corsi.unige.it/corsi/11945,200,True,WAVE WebAIM,api,,4,2026-04-24T09:49:01Z,desktop_1200,1200,wave_default,500,CORSO DI LAUREA MAGISTRALE (D.M. 1649/2023) in DIGITAL HUMANITIES - INTERACTIVE SYSTEMS AND DIGITAL MEDIA | UniGe | Università di Genova | Corsi di Studio UniGe,3.6,522,1525,21,42,54,29,150,226,wave/data/raw/WVRUN_001/WV_COURSE_C014.json,
WVRUN_001,WV_COURSE_C015,SD0032,course_page,https://www.unimib.it/triennale/comunicazione-interculturale,https://www.unimib.it/triennale/comunicazione-interculturale,200,True,WAVE WebAIM,api,,4,2026-04-24T09:49:12Z,desktop_1200,1200,wave_default,500,Comunicazione interculturale | Università degli Studi di Milano-Bicocca,7.3,125,925,4,9,13,8,47,44,wave/data/raw/WVRUN_001/WV_COURSE_C015.json,
WVRUN_001,WV_COURSE_C016,SD0033,course_page,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,200,True,WAVE WebAIM,api,,4,2026-04-24T09:49:22Z,desktop_1200,1200,wave_default,500,Teoria e tecnologia della comunicazione | Università degli Studi di Milano-Bicocca,7.3,126,923,4,9,14,8,47,44,wave/data/raw/WVRUN_001/WV_COURSE_C016.json,
WVRUN_001,WV_COURSE_C017,SD0036,course_page,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,200,True,WAVE WebAIM,api,,4,2026-04-24T09:49:30Z,desktop_1200,1200,wave_default,500,Comunicazione e società (CES) | Università degli Studi di Milano Statale,8.8,266,1763,1,2,36,8,171,48,wave/data/raw/WVRUN_001/WV_COURSE_C017.json,
