serp_target_id,course_id,university_id,source_document_id,query_template_id,query_type,query_string,canonical_course_url,university_domain,collection_status,notes
ST062,C021,UNI11,[to_be_filled],SQ02,user_like_institutional,Scienze della comunicazione Unisa,https://corsi.unisa.it/scienze-della-comunicazione,unisa.it,completed,
ST063,C021,UNI11,[to_be_filled],SQ03,information_seeking,Scienze della comunicazione triennale Salerno,https://corsi.unisa.it/scienze-della-comunicazione,unisa.it,completed,
ST064,C022,UNI11,[to_be_filled],SQ01,known_institution,"""Corporate Communication e Media"" ""Università degli Studi di Salerno""",https://corsi.unisa.it/corporate-communication-e-media,unisa.it,completed,course name abbreviated; full official name includes interclasse parenthetical retained in course_sample_master.csv
ST065,C022,UNI11,[to_be_filled],SQ02,user_like_institutional,Corporate Communication e Media Unisa,https://corsi.unisa.it/corporate-communication-e-media,unisa.it,completed,course name abbreviated
ST066,C022,UNI11,[to_be_filled],SQ03,information_seeking,Corporate Communication e Media magistrale Salerno,https://corsi.unisa.it/corporate-communication-e-media,unisa.it,completed,course name abbreviated
ST067,C023,UNI12,[to_be_filled],SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi Roma Tre""",https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,uniroma3.it,completed,
ST068,C023,UNI12,[to_be_filled],SQ02,user_like_institutional,Scienze della comunicazione Roma Tre,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,uniroma3.it,completed,
ST069,C023,UNI12,[to_be_filled],SQ03,information_seeking,Scienze della comunicazione triennale Roma,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,uniroma3.it,completed,
ST070,C024,UNI12,[to_be_filled],SQ01,known_institution,"""Scienze cognitive della comunicazione e dell'azione"" ""Università degli Studi Roma Tre""",https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,uniroma3.it,completed,
ST071,C024,UNI12,[to_be_filled],SQ02,user_like_institutional,Scienze cognitive della comunicazione e dell'azione Roma Tre,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,uniroma3.it,completed,
ST072,C024,UNI12,[to_be_filled],SQ03,information_seeking,Scienze cognitive della comunicazione e dell'azione magistrale Roma,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,uniroma3.it,completed,
ST073,C025,UNI13,[to_be_filled],SQ01,known_institution,"""Scienze della Comunicazione"" ""Università degli Studi di Palermo""",https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,unipa.it,completed,
ST074,C025,UNI13,[to_be_filled],SQ02,user_like_institutional,Scienze della Comunicazione UniPa,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,unipa.it,completed,
ST075,C025,UNI13,[to_be_filled],SQ03,information_seeking,Scienze della Comunicazione triennale Palermo,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,unipa.it,completed,
ST076,C026,UNI13,[to_be_filled],SQ01,known_institution,"""Comunicazione del patrimonio culturale"" ""Università degli Studi di Palermo""",https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,unipa.it,completed,
ST077,C026,UNI13,[to_be_filled],SQ02,user_like_institutional,Comunicazione del patrimonio culturale UniPa,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,unipa.it,completed,
ST078,C026,UNI13,[to_be_filled],SQ03,information_seeking,Comunicazione del patrimonio culturale magistrale Palermo,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,unipa.it,completed,
ST079,C027,UNI14,[to_be_filled],SQ01,known_institution,"""Comunicazione internazionale e pubblicitaria"" ""Università per Stranieri di Perugia""",https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-comunicazione-internazionale-e-pubblicitaria-comip,unistrapg.it,completed,
ST080,C027,UNI14,[to_be_filled],SQ02,user_like_institutional,Comunicazione internazionale e pubblicitaria UniStraPG,https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-comunicazione-internazionale-e-pubblicitaria-comip,unistrapg.it,completed,
ST081,C027,UNI14,[to_be_filled],SQ03,information_seeking,Comunicazione internazionale e pubblicitaria triennale Perugia,https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-comunicazione-internazionale-e-pubblicitaria-comip,unistrapg.it,completed,
ST082,C028,UNI14,[to_be_filled],SQ01,known_institution,"""Comunicazione pubblicitaria, storytelling e cultura d'immagine"" ""Università per Stranieri di Perugia""",https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,unistrapg.it,completed,
ST083,C028,UNI14,[to_be_filled],SQ02,user_like_institutional,"Comunicazione pubblicitaria, storytelling e cultura d'immagine UniStraPG",https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,unistrapg.it,completed,course name contains commas
ST084,C028,UNI14,[to_be_filled],SQ03,information_seeking,"Comunicazione pubblicitaria, storytelling e cultura d'immagine magistrale Perugia",https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,unistrapg.it,completed,course name contains commas
ST085,C029,UNI15,[to_be_filled],SQ01,known_institution,"""Informazione, Media, Pubblicità"" ""Università degli Studi di Urbino Carlo Bo""",https://www.uniurb.it/corsi/1757256,uniurb.it,completed,
ST086,C029,UNI15,[to_be_filled],SQ02,user_like_institutional,"Informazione, Media, Pubblicità UniUrb",https://www.uniurb.it/corsi/1757256,uniurb.it,completed,course name contains commas
ST087,C029,UNI15,[to_be_filled],SQ03,information_seeking,"Informazione, Media, Pubblicità triennale Urbino",https://www.uniurb.it/corsi/1757256,uniurb.it,completed,course name contains commas
ST088,C030,UNI15,[to_be_filled],SQ01,known_institution,"""Comunicazione Digitale per la Cultura"" ""Università degli Studi di Urbino Carlo Bo""",https://www.uniurb.it/corsi/1757220,uniurb.it,completed,
ST089,C030,UNI15,[to_be_filled],SQ02,user_like_institutional,Comunicazione Digitale per la Cultura UniUrb,https://www.uniurb.it/corsi/1757220,uniurb.it,completed,
ST090,C030,UNI15,[to_be_filled],SQ03,information_seeking,Comunicazione Digitale per la Cultura magistrale Urbino,https://www.uniurb.it/corsi/1757220,uniurb.it,completed,
ST091,C031,UNI16,[to_be_filled],SQ01,known_institution,"""Comunicazione digitale d'impresa"" ""Università Telematica Internazionale Uninettuno""",https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,uninettunouniversity.net,completed,target is a curriculum page within the communication degree
ST092,C031,UNI16,[to_be_filled],SQ02,user_like_institutional,Comunicazione digitale d'impresa Uninettuno,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,uninettunouniversity.net,completed,target is a curriculum page
ST093,C031,UNI16,[to_be_filled],SQ03,information_seeking,Comunicazione digitale d'impresa triennale Online,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,uninettunouniversity.net,completed,online institution; city=Online
ST094,C032,UNI16,[to_be_filled],SQ01,known_institution,"""Culture, linguaggi e strategie per la comunicazione nell'era digitale"" ""Università Telematica Internazionale Uninettuno""",https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,uninettunouniversity.net,completed,
ST095,C032,UNI16,[to_be_filled],SQ02,user_like_institutional,"Culture, linguaggi e strategie per la comunicazione nell'era digitale Uninettuno",https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,uninettunouniversity.net,completed,course name contains commas
ST096,C032,UNI16,[to_be_filled],SQ03,information_seeking,"Culture, linguaggi e strategie per la comunicazione nell'era digitale magistrale Online",https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,uninettunouniversity.net,completed,course name contains commas; online institution
ST097,C033,UNI17,[to_be_filled],SQ01,known_institution,"""Comunicazione e DAMS"" ""Università della Calabria""",https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,unical.it,completed,
ST098,C033,UNI17,[to_be_filled],SQ02,user_like_institutional,Comunicazione e DAMS UniCal,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,unical.it,completed,
ST099,C033,UNI17,[to_be_filled],SQ03,information_seeking,Comunicazione e DAMS triennale Rende,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,unical.it,completed,city=Rende (campus) not Cosenza
ST100,C034,UNI17,[to_be_filled],SQ01,known_institution,"""Linguaggi della comunicazione e dello spettacolo"" ""Università della Calabria""",https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,unical.it,completed,
ST101,C034,UNI17,[to_be_filled],SQ02,user_like_institutional,Linguaggi della comunicazione e dello spettacolo UniCal,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,unical.it,completed,
ST102,C034,UNI17,[to_be_filled],SQ03,information_seeking,Linguaggi della comunicazione e dello spettacolo magistrale Rende,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,unical.it,completed,city=Rende
ST103,C035,UNI18,[to_be_filled],SQ01,known_institution,"""Culture digitali e della comunicazione"" ""Università degli Studi di Napoli Federico II""",https://www.corsi.unina.it/D27/home,unina.it,completed,JS-heavy Angular SPA; university name uses simplified form without typographic inner quotes
ST104,C035,UNI18,[to_be_filled],SQ02,user_like_institutional,Culture digitali e della comunicazione Unina,https://www.corsi.unina.it/D27/home,unina.it,completed,JS-heavy Angular SPA
ST105,C035,UNI18,[to_be_filled],SQ03,information_seeking,Culture digitali e della comunicazione triennale Napoli,https://www.corsi.unina.it/D27/home,unina.it,completed,JS-heavy Angular SPA
ST106,C036,UNI18,[to_be_filled],SQ01,known_institution,"""Digital Society, Social Innovation and Global Citizenship"" ""Università degli Studi di Napoli Federico II""",https://www.corsi.unina.it/DA2/home,unina.it,completed,course name in English; university name uses simplified form; JS-heavy SPA
ST107,C036,UNI18,[to_be_filled],SQ02,user_like_institutional,"Digital Society, Social Innovation and Global Citizenship Unina",https://www.corsi.unina.it/DA2/home,unina.it,completed,course name in English; course name contains commas; JS-heavy SPA
