"course_id","university_id","source_document_id","indicator_id","indicator_label","priority","trigger_reason","auto_observed","auto_location_type","auto_local_findability","auto_confidence","auto_evidence_text","auto_evidence_url","auto_evidence_selector","auto_evidence_document_type","auto_notes","evidence_artifact_path","rendered_screenshot_path","target_url","reviewer_decision","reviewer_observed","reviewer_location_type","reviewer_local_findability","reviewer_confidence","reviewer_evidence_text","reviewer_evidence_url","reviewer_notes","reviewer_id","reviewed_at"
"C004","UNI02","SD0090","degree_level","Degree level","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Master: Master","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","[aria-label=Master]","html","","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","corrected","present","heading_or_summary","direct","high","Corso Laurea Magistrale LM-92 - Teorie della comunicazione","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","auto picked search chip ""Master"" (homepage nav). Real: summary card ""Corso Laurea Magistrale LM-92"" 2 anni. Verified via static SD0090.html. Rendered artifact = homepage (cookie banner).","gaia","2026-05-07T13:37:54+02:00"
"C004","UNI02","SD0090","academic_year","Academic year or edition","essential","confidence=low | location_type=ambiguous | course_outlier(missing>=3)","present","ambiguous","unclear","low","2026/27","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","body","html","keyword found in page text without structural anchor","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","corrected","not_observed","not_observed","not_found","not_observed","","","Same as C003: rendered artifact = UniPD homepage. ""2026/27"" in generic admission promo.","gaia","2026-05-07T14:01:14+02:00"
"C004","UNI02","SD0090","language","Teaching language","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C004","UNI02","SD0090","location","Campus / city / location","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Campus multisede","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","h3","html","","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C004","UNI02","SD0090","study_plan","Study plan / piano di studi / curriculum / teachings","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C004","UNI02","SD0090","admission_requirements","Access requirements / admission requirements","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C004","UNI02","SD0090","admission_procedure","Admission or enrolment procedure","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Iscriversi: Iscriversi","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","[aria-label=Iscriversi]","html","","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","corrected","present","heading_or_summary","direct","medium","Accesso libero con requisiti","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","auto picked search chip ""Iscriversi"" (homepage nav). Real: summary card ""Accesso libero con requisiti"" + ""Iscriviti"" link. Verified via static SD0090.html.","gaia","2026-05-07T13:37:54+02:00"
"C004","UNI02","SD0090","deadlines","Application / enrolment deadlines","essential","confidence=low | location_type=ambiguous | course_outlier(missing>=3)","present","ambiguous","unclear","low","entro il","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","body","html","keyword found in page text without structural anchor","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","corrected","not_observed","not_observed","not_found","not_observed","","","Same as C003: ""entro il 25 maggio"" in UniPD homepage CTA, not course-specific.","gaia","2026-05-07T14:01:14+02:00"
"C004","UNI02","SD0090","contacts","Contact / tutor / orientation / course office","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","I nostri servizi di orientamento Al tuo fianco nella scelta","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","div@div","html","","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C006","UNI03","SD0012","admission_procedure","Admission or enrolment procedure","essential","confidence=not_observed","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0012.html","","https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/comunicazione-media-tecnologie-wcm-lm","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
